Status,Company,Role,Location,Source,Attendance,Application,Type,Phone call,1st interview,2nd interview,3rd interview,Proposition,Final answer,URL
Applied,EQUANS,Data Scientist,Genas,Carrer Site,,01/09/2023,Offer,,,,,,,https://jobs.equans.com/fr/jobs/46158-data-scientist-h-f-axima-refrigeration-69/
Applied,EQUANS,Data Scientist,Nantes,Carrer Site,,01/09/2023,Offer,,,,,,,https://jobs.equans.com/fr/jobs/46157-data-scientist-h-f-axima-refrigeration-44/
Applied,EQUANS,Data Scientist,Lille,Carrer Site,,01/09/2023,Offer,,,,,,,https://jobs.equans.com/fr/jobs/46155-data-scientist-h-f-axima-refrigeration-59/
Rejected,Fortil,Data Scientist,,Carrer Site,,01/09/2023,Spontaneous,,,,,,04/09/2023,
Applied,Fortil,Data Engineer,Lille,Carrer Site,,01/09/2023,Offer,,,,,,,https://fortil.group/fr/offres-demploi/offre-demploi/?jobid=8787-90
Applied,Astek,Data Engineer,Lille,Carrer Site,,01/09/2023,Offer,,,,,,,https://astekjob.fr/jobs/data-engineer-lille-france-h-f-3/
Applied,Astek,Data Engineer,Bordeaux,Carrer Site,,01/09/2023,Offer,,,,,,,https://astekjob.fr/jobs/data-engineer-bordeaux-france-h-f/
Rejected,Thalès,Data Engineer,Rennes,Carrer Site,,02/09/2023,Offer,,,,,,05/09/2023,https://careers.thalesgroup.com/global/en/job/R0225792/Ing%C3%A9nieur-e-Data-H-F
Rejected,Atos,Data Engineer,Bezons,Carrer Site,,02/09/2023,Offer,,,,,,07/09/2023,https://jobs.atos.net/job/BEZONS-Data-Engineer-MLOps-FH-FRAN-95870/961894901/
Rejected,Atos,Data Engineer,Villeurbanne,Carrer Site,,02/09/2023,Offer,,,,,,28/09/2023,
Rejected,Atos,Data Engineer,Bezons,Carrer Site,,02/09/2023,Offer,,,,,,06/09/2023,https://jobs.atos.net/job/BEZONS-Ing%C3%A9nieur(e)-Data-d%C3%A9butant(e)-FH-FRAN-95870/966423501/
